,id,url,title,parkCode,abstract,image,relatedParks,relatedOrganizations,latitude,longitude,geometryPoiId,releaseDate,credit,lastIndexedDate
20,45987460-D909-4623-9FF0-08D436AB9E72,https://www.nps.gov/yell/learn/news/220907.htm,WARNING: Bull elk in Yellowstone National Park can be unpredictable and dangerous during fall mating season,yell,"The elk mating season, commonly referred to as the rut, has begun in Yellowstone National Park. Bull elk can be unpredictable and dangerous during this time.","{'url': 'https://www.nps.gov/yell/learn/news/images/52339222430_1598e529bc_k.jpg', 'credit': 'NPS / Jacob W. Frank', 'altText': 'Bull elk on the Fawn Pass Trail', 'title': '52339222430_1598e529bc_k', 'description': '', 'caption': 'Bull elk on the Fawn Pass Trail'}","[{'states': 'ID,MT,WY', 'parkCode': 'yell', 'designation': 'National Park', 'fullName': 'Yellowstone National Park', 'url': 'https://www.nps.gov/yell/index.htm', 'name': 'Yellowstone'}]",[],,,,2022-09-07 11:49:00.0,,2022-09-07 14:18:55.0
21,290F36D9-7E82-486C-A336-C0A2FCFD01AD,https://www.nps.gov/cong/learn/news/2022-swampfest-student-art-competition-accepting-entries.htm,SwampFest Art Competition Accepting Entries,cong,Congaree National Park now accepting entries for the 2022 SwampFest Student Art Competition.,"{'url': 'https://www.nps.gov/cong/learn/news/images/swampfest_7335448_2.jpg', 'credit': '', 'altText': 'Student artwork showcased in visitor center', 'title': 'SwampFest artwork from a previous year showcased at the Harry Hampton Visitor Center', 'description': '', 'caption': ''}","[{'states': 'SC', 'parkCode': 'cong', 'designation': 'National Park', 'fullName': 'Congaree National Park', 'url': 'https://www.nps.gov/cong/index.htm', 'name': 'Congaree'}]",[],,,,2022-09-07 11:28:00.0,,2022-09-07 11:47:31.0
22,08B9A74E-4F1D-45AE-907C-8BF4A428C5CA,https://www.nps.gov/grte/learn/news/fire-danger-increased-to-high-sept-2022.htm,Fire Danger Increases to High,grte,"Teton Interagency fire managers have elevated the fire danger rating to high for Grand Teton National Park, the Bridger-Teton National Forest and the National Elk Refuge beginning Tuesday, September 6.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'WY', 'parkCode': 'grte', 'designation': 'National Park', 'fullName': 'Grand Teton National Park', 'url': 'https://www.nps.gov/grte/index.htm', 'name': 'Grand Teton'}]",[],,,,2022-09-07 10:36:00.0,,2022-09-07 12:39:02.0
23,C0BBE3B8-41DC-4D00-B756-84F6AF414CB5,https://www.nps.gov/samo/learn/news/adult-female-mountain-lion-p-54-and-her-four-full-term-fetuses-were-exposed-to-multiple-anticoagulant-rodenticides.htm,Adult female mountain lion P-54 and her four full-term fetuses were exposed to multiple anticoagulant rodenticides,samo,"THOUSAND OAKS, Calif. – Adult female P-54, a mountain lion struck and killed by a vehicle earlier this year, was pregnant with four kittens. According to biologists from the National Park Service (NPS), all five animals tested positive for multiple anticoagulant rodenticides (rat poison). Watch a video of P-54 here, and photo here.","{'url': 'https://www.nps.gov/samo/learn/news/images/P54_recapture_2020.jpg', 'credit': 'National Park Service', 'altText': 'P54_recapture_2020', 'title': 'P54_recapture_2020', 'description': '', 'caption': 'Female mountain lion P-54.'}","[{'states': 'CA', 'parkCode': 'samo', 'designation': 'National Recreation Area', 'fullName': 'Santa Monica Mountains National Recreation Area', 'url': 'https://www.nps.gov/samo/index.htm', 'name': 'Santa Monica Mountains'}]",[],,,,2022-09-07 10:31:00.0,,2022-09-07 13:37:59.0
24,4BBEAE83-900A-41E5-9695-FC7525C9C825,https://www.nps.gov/guis/learn/news/national-seashore-to-host-park-wide-cleanup-september-24.htm,National Seashore to host park-wide cleanup September 24,guis,"Gulf Islands National Seashore and community partners will host a park-wide cleanup on September 24, 2022, in honor of National Public Lands Day.","{'url': 'https://www.nps.gov/guis/learn/news/images/NPLD22-Graphic.jpg', 'credit': 'Stephenie Wade', 'altText': 'Graphic of event details', 'title': 'NPLD22 Graphic', 'description': '', 'caption': 'Graphic of events'}","[{'states': 'FL,MS', 'parkCode': 'guis', 'designation': 'National Seashore', 'fullName': 'Gulf Islands National Seashore', 'url': 'https://www.nps.gov/guis/index.htm', 'name': 'Gulf Islands'}]",[],,,,2022-09-07 09:18:00.0,,2022-09-08 10:21:16.0
25,8389E101-24FD-4355-A27D-D6425C3483DC,https://www.nps.gov/pipe/learn/news/iowa-of-oklahoma-to-make-historic-visit-to-pipestone-blood-run.htm,"Iowa of Oklahoma to Make Historic Visit to Pipestone, Blood Run",pipe,"During the week of September 13, elders from the Iowa Tribe of Oklahoma will be making a historic homecoming journey to Pipestone National Monument, Good Earth State Park at Blood Run, and other ancestral sites in the region. The Iowa were early keepers of the pipestone quarries, working and trading the stone extensively through places like Blood Run.","{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'MN', 'parkCode': 'pipe', 'designation': 'National Monument', 'fullName': 'Pipestone National Monument', 'url': 'https://www.nps.gov/pipe/index.htm', 'name': 'Pipestone'}]",[],,,,2022-09-07 07:41:00.0,,2022-09-07 08:46:07.0
26,68C607F7-2428-4F97-929E-FAEF3BC14E77,https://www.nps.gov/orgs/1207/national-park-service-announces-death-of-former-director-mary-bomar.htm,National Park Service announces death of former director Mary Bomar,,"Former National Park Service Director Mary Bomar died on Sunday, August 28, 2022, after a dogged fight against cancer. She was 78 years old. Bomar was appointed as the 17th director of the National Park Service (NPS) by President George W. Bush in October 2006 and served through the end of the Bush Administration.","{'url': 'https://www.nps.gov/orgs/1207/images/Mary-Bomar.jpg', 'credit': 'NPS', 'altText': 'A woman in a formal green uniform rests her chin on her left hand; behind her are several shelves lined with books.', 'title': 'Mary Bomar', 'description': '', 'caption': 'Mary Bomar, 17th Director of the National Park Service'}",[],"[{'id': 'DA687C0C-2506-49BB-A803-910DBD755D27', 'url': 'http://www.nps.gov/orgs/1207/', 'name': 'Office of Communications'}]",,,,2022-09-06 14:34:00.0,,2022-09-06 16:03:58.0
27,16943BB3-8E29-4C33-BD0D-16B7C7A19D7A,https://www.nps.gov/pore/learn/news/newsreleases-20220906-junior-ranger-day-2022.htm,"Junior Ranger Day at Point Reyes National Seashore on September 11, 2022",pore,"On Sunday, September 11, 2022, Point Reyes National Seashore will hold its first Junior Ranger Day. This special event will be from 11 am to 2 pm outside the Bear Valley Visitor Center. The free, family-friendly day will include activities for kids of all ages!","{'url': 'https://www.nps.gov/pore/learn/kidsyouth/images/pic-junior-rangers-at-kpvc-amk-190420-960x640.jpg', 'credit': 'NPS / Anela Kopshever', 'altText': 'Two young boys and a young girl wearing junior ranger hats pose while holding junior ranger badges and booklets.', 'title': 'Three Junior Rangers at the Kenneth C. Patrick Visitor Center. NPS / Anela Kopshever.', 'description': '', 'caption': 'Three Junior Rangers at the Kenneth C. Patrick Visitor Center.'}","[{'states': 'CA', 'parkCode': 'pore', 'designation': 'National Seashore', 'fullName': 'Point Reyes National Seashore', 'url': 'https://www.nps.gov/pore/index.htm', 'name': 'Point Reyes'}]",[],,,a166e320-9fb2-4a05-8597-698c01412df5,2022-09-06 14:30:00.0,,2022-09-08 13:57:20.0
28,78725124-A53B-4270-9E18-865D609A4417,https://www.nps.gov/moru/learn/news/national-park-service-and-federal-aviation-administration-seeking-public-input-on-air-tour-management-plan.htm,Public input needed on potential alternatives for the draft air tour management plan for Mount Rushmore National Memorial,moru,The National Park Service (NPS) and the Federal Aviation Administration (FAA) are seeking public comments on potential alternatives for an air tour management plan (ATMP) for Mount Rushmore National Memorial. Public comments will be accepted during a 30-day public scoping process starting September 6 through October 6.,"{'url': '', 'credit': '', 'altText': '', 'title': '', 'description': '', 'caption': ''}","[{'states': 'SD', 'parkCode': 'moru', 'designation': 'National Memorial', 'fullName': 'Mount Rushmore National Memorial', 'url': 'https://www.nps.gov/moru/index.htm', 'name': 'Mount Rushmore'}]",[],,,,2022-09-06 14:26:00.0,,2022-09-06 12:00:14.0
29,79492FB3-3F38-44BC-860C-B2D1BF98199F,https://www.nps.gov/yell/learn/news/220906.htm,VERY HIGH fire danger in Yellowstone National Park ,yell,The parkwide fire danger level for Yellowstone is now VERY HIGH.,"{'url': 'https://www.nps.gov/yell/learn/news/images/43878336065_f3fd2d989b_k_1.jpg', 'credit': 'NPS / Jacob W. Frank', 'altText': 'Fire Danger sign at Very High', 'title': '43878336065_f3fd2d989b_k', 'description': '', 'caption': 'Fire Danger sign at Very High'}","[{'states': 'ID,MT,WY', 'parkCode': 'yell', 'designation': 'National Park', 'fullName': 'Yellowstone National Park', 'url': 'https://www.nps.gov/yell/index.htm', 'name': 'Yellowstone'}]",[],,,,2022-09-06 14:11:00.0,,2022-09-06 16:15:17.0
